chr	start	cen.left.base	cen.right.base	end
1	1	121535434	124535434	249250621
2	1	92326171	95326171	243199373
3	1	90504854	93504854	198022430
4	1	49660117	52660117	191154276
5	1	46405641	49405641	180915260
6	1	58830166	61830166	171115067
7	1	58054331	61054331	159138663
8	1	43838887	46838887	146364022
9	1	47367679	50367679	141213431
10	1	39254935	42254935	135534747
11	1	51644205	54644205	135006516
12	1	34856694	37856694	133851895
13	1	16000000	19000000	115169878
14	1	16000000	19000000	107349540
15	1	17000000	20000000	102531392
16	1	35335801	38335801	90354753
17	1	22263006	25263006	81195210
18	1	15460898	18460898	78077248
19	1	24681782	27681782	59128983
20	1	26369569	29369569	63025520
21	1	11288129	14288129	48129895
22	1	13000000	16000000	51304566
23	1	58632012	61632012	155270560
